substrate_id,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,yield
Bifonazole,0,1.0,0.0,0.0,0.0
Bifonazole,1,1.0,0.0,0.0,0.0
Bifonazole,2,1.0,0.0,0.0,72.60504202
Bifonazole,4,1.0,0.0,0.0,80.16806723
Bifonazole,6,1.0,0.0,0.0,82.43697479
Bifonazole,10,1.0,0.0,0.0,86.21848739
Bifonazole,15,1.0,0.0,0.0,90.0
Bifonazole,25,1.0,0.0,0.0,85.46218487
Bifonazole,0,0.0,0.0,1.0,0.0
Bifonazole,1,0.0,0.0,1.0,0.0
Bifonazole,2,0.0,0.0,1.0,68.20512821
Bifonazole,4,0.0,0.0,1.0,85.25641026
Bifonazole,6,0.0,0.0,1.0,81.1965812
Bifonazole,10,0.0,0.0,1.0,95.0
Bifonazole,15,0.0,0.0,1.0,87.69230769
Bifonazole,25,0.0,0.0,1.0,82.82051282
Bifonazole,0,0.0,1.0,0.0,3.250507797
Bifonazole,1,0.0,1.0,0.0,1.266877438
Bifonazole,2,0.0,1.0,0.0,91.83109585
Bifonazole,4,0.0,1.0,0.0,95.15186066
Bifonazole,6,0.0,1.0,0.0,92.65361315
Bifonazole,10,0.0,1.0,0.0,96.36529766
Bifonazole,15,0.0,1.0,0.0,97.54930332
Bifonazole,25,0.0,1.0,0.0,95.34665304
Boscalid,0,1.0,0.0,0.0,64.42592593
Boscalid,1,1.0,0.0,0.0,76.22222222
Boscalid,5,1.0,0.0,0.0,98.0
Boscalid,0,0.0,0.0,1.0,5.196428571
Boscalid,1,0.0,0.0,1.0,89.20535714
Boscalid,2,0.0,0.0,1.0,91.80357143
Boscalid,4,0.0,0.0,1.0,92.66964286
Boscalid,6,0.0,0.0,1.0,97.0
Boscalid,10,0.0,0.0,1.0,94.40178571
Boscalid,15,0.0,0.0,1.0,94.40178571
Boscalid,25,0.0,0.0,1.0,96.13392857
Boscalid,0,0.0,1.0,0.0,43.47826087
Boscalid,1,0.0,1.0,0.0,76.52173913
Boscalid,5,0.0,1.0,0.0,100.0
Caffeine,0,1.0,0.0,0.0,0.0
Caffeine,1,1.0,0.0,0.0,0.0
Caffeine,2,1.0,0.0,0.0,0.0
Caffeine,4,1.0,0.0,0.0,0.0
Caffeine,6,1.0,0.0,0.0,0.0
Caffeine,10,1.0,0.0,0.0,0.0
Caffeine,15,1.0,0.0,0.0,0.0
Caffeine,25,1.0,0.0,0.0,0.0
Caffeine,0,0.0,0.0,1.0,25.0
Caffeine,1,0.0,0.0,1.0,17.0
Caffeine,2,0.0,0.0,1.0,9.0
Caffeine,4,0.0,0.0,1.0,6.0
Caffeine,6,0.0,0.0,1.0,5.0
Caffeine,10,0.0,0.0,1.0,3.0
Caffeine,15,0.0,0.0,1.0,2.0
Caffeine,25,0.0,0.0,1.0,2.0
Caffeine,0,0.0,1.0,0.0,0.0
Caffeine,1,0.0,1.0,0.0,2.25
Caffeine,2,0.0,1.0,0.0,3.0
Caffeine,4,0.0,1.0,0.0,3.0
Caffeine,6,0.0,1.0,0.0,2.25
Caffeine,10,0.0,1.0,0.0,3.0
Caffeine,15,0.0,1.0,0.0,0.75
Caffeine,25,0.0,1.0,0.0,0.75
Camptothecin,0,1.0,0.0,0.0,42.58252427
Camptothecin,1,1.0,0.0,0.0,86.0
Camptothecin,2,1.0,0.0,0.0,82.66019417
Camptothecin,4,1.0,0.0,0.0,50.09708738
Camptothecin,6,1.0,0.0,0.0,35.90291262
Camptothecin,10,1.0,0.0,0.0,34.23300971
Camptothecin,15,1.0,0.0,0.0,13.3592233
Camptothecin,25,1.0,0.0,0.0,7.514563107
Camptothecin,0,0.0,0.0,1.0,7.434782609
Camptothecin,1,0.0,0.0,1.0,45.43478261
Camptothecin,2,0.0,0.0,1.0,54.52173913
Camptothecin,4,0.0,0.0,1.0,44.60869565
Camptothecin,6,0.0,0.0,1.0,66.08695652
Camptothecin,10,0.0,0.0,1.0,71.86956522
Camptothecin,15,0.0,0.0,1.0,76.0
Camptothecin,25,0.0,0.0,1.0,68.56521739
Camptothecin,0,0.0,1.0,0.0,0.0
Camptothecin,1,0.0,1.0,0.0,5.0
Camptothecin,2,0.0,1.0,0.0,5.0
Camptothecin,4,0.0,1.0,0.0,4.0
Camptothecin,6,0.0,1.0,0.0,4.0
Camptothecin,10,0.0,1.0,0.0,4.0
Camptothecin,15,0.0,1.0,0.0,1.0
Camptothecin,25,0.0,1.0,0.0,2.0
Cimetadine,0,1.0,0.0,0.0,0.0
Cimetadine,1,1.0,0.0,0.0,0.0
Cimetadine,5,1.0,0.0,0.0,0.0
Cimetadine,25,1.0,0.0,0.0,0.0
Cimetadine,0,0.0,0.0,1.0,0.0
Cimetadine,1,0.0,0.0,1.0,0.0
Cimetadine,5,0.0,0.0,1.0,0.0
Cimetadine,25,0.0,0.0,1.0,0.0
Cimetadine,0,0.0,1.0,0.0,0.0
Cimetadine,1,0.0,1.0,0.0,0.0
Cimetadine,5,0.0,1.0,0.0,0.0
Cimetadine,25,0.0,1.0,0.0,0.0
Ciprofloxacin,0,1.0,0.0,0.0,0.0
Ciprofloxacin,1,1.0,0.0,0.0,33.02380952
Ciprofloxacin,2,1.0,0.0,0.0,33.6031746
Ciprofloxacin,4,1.0,0.0,0.0,32.44444444
Ciprofloxacin,6,1.0,0.0,0.0,30.12698413
Ciprofloxacin,10,1.0,0.0,0.0,31.86507937
Ciprofloxacin,15,1.0,0.0,0.0,67.78571429
Ciprofloxacin,25,1.0,0.0,0.0,73.0
Ciprofloxacin,0,0.0,0.0,1.0,1.896103896
Ciprofloxacin,1,0.0,0.0,1.0,32.23376623
Ciprofloxacin,2,0.0,0.0,1.0,73.0
Ciprofloxacin,4,0.0,0.0,1.0,73.0
Ciprofloxacin,6,0.0,0.0,1.0,52.14285714
Ciprofloxacin,10,0.0,0.0,1.0,50.24675325
Ciprofloxacin,15,0.0,0.0,1.0,39.81818182
Ciprofloxacin,25,0.0,0.0,1.0,55.93506494
Ciprofloxacin,0,0.0,1.0,0.0,0.777777778
Ciprofloxacin,1,0.0,1.0,0.0,2.333333333
Ciprofloxacin,2,0.0,1.0,0.0,2.333333333
Ciprofloxacin,4,0.0,1.0,0.0,3.888888889
Ciprofloxacin,6,0.0,1.0,0.0,4.666666667
Ciprofloxacin,10,0.0,1.0,0.0,5.444444444
Ciprofloxacin,15,0.0,1.0,0.0,7.0
Ciprofloxacin,25,0.0,1.0,0.0,7.0
Cladribine,0,1.0,0.0,0.0,0.0
Cladribine,1,1.0,0.0,0.0,0.0
Cladribine,5,1.0,0.0,0.0,0.0
Cladribine,25,1.0,0.0,0.0,0.0
Cladribine,0,0.0,0.0,1.0,0.0
Cladribine,1,0.0,0.0,1.0,0.0
Cladribine,5,0.0,0.0,1.0,0.0
Cladribine,25,0.0,0.0,1.0,0.0
Cladribine,0,0.0,1.0,0.0,0.0
Cladribine,1,0.0,1.0,0.0,0.0
Cladribine,5,0.0,1.0,0.0,0.0
Cladribine,25,0.0,1.0,0.0,0.0
Clotrimazole,0,1.0,0.0,0.0,0.0
Clotrimazole,1,1.0,0.0,0.0,0.0
Clotrimazole,5,1.0,0.0,0.0,0.0
Clotrimazole,25,1.0,0.0,0.0,0.0
Clotrimazole,0,0.0,0.0,1.0,0.0
Clotrimazole,1,0.0,0.0,1.0,0.0
Clotrimazole,5,0.0,0.0,1.0,0.0
Clotrimazole,25,0.0,0.0,1.0,0.0
Clotrimazole,0,0.0,1.0,0.0,0.0
Clotrimazole,1,0.0,1.0,0.0,0.0
Clotrimazole,5,0.0,1.0,0.0,0.0
Clotrimazole,25,0.0,1.0,0.0,0.0
Colchicine,0,1.0,0.0,0.0,100.0
Colchicine,1,1.0,0.0,0.0,94.23076923
Colchicine,5,1.0,0.0,0.0,98.07692308
Colchicine,0,0.0,0.0,1.0,7.0
Colchicine,1,0.0,0.0,1.0,8.0
Colchicine,5,0.0,0.0,1.0,31.0
Colchicine,0,0.0,1.0,0.0,96.0
Colchicine,1,0.0,1.0,0.0,96.0
Colchicine,5,0.0,1.0,0.0,94.23853211
Etodolac,0,1.0,0.0,0.0,0.0
Etodolac,1,1.0,0.0,0.0,0.0
Etodolac,5,1.0,0.0,0.0,0.0
Etodolac,2,1.0,0.0,0.0,0.0
Etodolac,4,1.0,0.0,0.0,0.0
Etodolac,6,1.0,0.0,0.0,0.0
Etodolac,10,1.0,0.0,0.0,0.0
Etodolac,15,1.0,0.0,0.0,0.0
Etodolac,25,1.0,0.0,0.0,0.0
Etodolac,0,0.0,0.0,1.0,0.0
Etodolac,1,0.0,0.0,1.0,0.0
Etodolac,5,0.0,0.0,1.0,0.0
Etodolac,2,0.0,0.0,1.0,0.0
Etodolac,4,0.0,0.0,1.0,0.0
Etodolac,6,0.0,0.0,1.0,0.0
Etodolac,10,0.0,0.0,1.0,0.0
Etodolac,15,0.0,0.0,1.0,0.0
Etodolac,25,0.0,0.0,1.0,0.0
Etodolac,0,0.0,1.0,0.0,0.0
Etodolac,1,0.0,1.0,0.0,0.0
Etodolac,5,0.0,1.0,0.0,0.0
Etodolac,2,0.0,1.0,0.0,0.0
Etodolac,4,0.0,1.0,0.0,0.0
Etodolac,6,0.0,1.0,0.0,0.0
Etodolac,10,0.0,1.0,0.0,0.0
Etodolac,15,0.0,1.0,0.0,0.0
Etodolac,25,0.0,1.0,0.0,0.0
Griseofulvin,0,1.0,0.0,0.0,79.6460177
Griseofulvin,1,1.0,0.0,0.0,78.84955752
Griseofulvin,5,1.0,0.0,0.0,74.86725664
Griseofulvin,10,1.0,0.0,0.0,90.0
Griseofulvin,15,1.0,0.0,0.0,89.20353982
Griseofulvin,25,1.0,0.0,0.0,89.20353982
Griseofulvin,0,0.0,0.0,1.0,7.314285714
Griseofulvin,1,0.0,0.0,1.0,17.37142857
Griseofulvin,2,0.0,0.0,1.0,17.37142857
Griseofulvin,4,0.0,0.0,1.0,18.28571429
Griseofulvin,6,0.0,0.0,1.0,15.54285714
Griseofulvin,10,0.0,0.0,1.0,62.17142857
Griseofulvin,15,0.0,0.0,1.0,61.25714286
Griseofulvin,25,0.0,0.0,1.0,64.0
Griseofulvin,0,0.0,1.0,0.0,8.0
Griseofulvin,1,0.0,1.0,0.0,30.0
Griseofulvin,2,0.0,1.0,0.0,43.0
Griseofulvin,4,0.0,1.0,0.0,50.0
Griseofulvin,6,0.0,1.0,0.0,49.0
Griseofulvin,10,0.0,1.0,0.0,45.0
Griseofulvin,15,0.0,1.0,0.0,52.0
Griseofulvin,25,0.0,1.0,0.0,47.0
Hydroquinine,0,1.0,0.0,0.0,93.3047619
Hydroquinine,1,1.0,0.0,0.0,97.0
Hydroquinine,5,1.0,0.0,0.0,88.68571429
Hydroquinine,10,1.0,0.0,0.0,89.60952381
Hydroquinine,15,1.0,0.0,0.0,89.60952381
Hydroquinine,25,1.0,0.0,0.0,86.83809524
Hydroquinine,0,0.0,0.0,1.0,43.05882353
Hydroquinine,1,0.0,0.0,1.0,60.0
Hydroquinine,2,0.0,0.0,1.0,75.52941176
Hydroquinine,4,0.0,0.0,1.0,70.58823529
Hydroquinine,6,0.0,0.0,1.0,74.82352941
Hydroquinine,10,0.0,0.0,1.0,67.05882353
Hydroquinine,15,0.0,0.0,1.0,66.35294118
Hydroquinine,25,0.0,0.0,1.0,84.0
Hydroquinine,0,0.0,1.0,0.0,3.142857143
Hydroquinine,1,0.0,1.0,0.0,1.571428571
Hydroquinine,2,0.0,1.0,0.0,2.357142857
Hydroquinine,4,0.0,1.0,0.0,3.928571429
Hydroquinine,6,0.0,1.0,0.0,8.642857143
Hydroquinine,10,0.0,1.0,0.0,7.071428571
Hydroquinine,15,0.0,1.0,0.0,8.642857143
Hydroquinine,25,0.0,1.0,0.0,11.0
Hydroxychloroquine,0,1.0,0.0,0.0,94.59459459
Hydroxychloroquine,1,1.0,0.0,0.0,87.38738739
Hydroxychloroquine,5,1.0,0.0,0.0,100.0
Hydroxychloroquine,0,0.0,0.0,1.0,43.96363636
Hydroxychloroquine,1,0.0,0.0,1.0,49.88181818
Hydroxychloroquine,2,0.0,0.0,1.0,43.96363636
Hydroxychloroquine,4,0.0,0.0,1.0,76.93636364
Hydroxychloroquine,6,0.0,0.0,1.0,81.16363636
Hydroxychloroquine,10,0.0,0.0,1.0,78.62727273
Hydroxychloroquine,15,0.0,0.0,1.0,83.7
Hydroxychloroquine,25,0.0,0.0,1.0,93.0
Hydroxychloroquine,0,0.0,1.0,0.0,4.473684211
Hydroxychloroquine,1,0.0,1.0,0.0,5.368421053
Hydroxychloroquine,2,0.0,1.0,0.0,5.368421053
Hydroxychloroquine,4,0.0,1.0,0.0,37.57894737
Hydroxychloroquine,6,0.0,1.0,0.0,49.21052632
Hydroxychloroquine,10,0.0,1.0,0.0,60.84210526
Hydroxychloroquine,15,0.0,1.0,0.0,74.26315789
Hydroxychloroquine,25,0.0,1.0,0.0,85.0
Ibuprofen,0,1.0,0.0,0.0,0.0
Ibuprofen,1,1.0,0.0,0.0,0.0
Ibuprofen,2,1.0,0.0,0.0,0.5
Ibuprofen,4,1.0,0.0,0.0,1.0
Ibuprofen,6,1.0,0.0,0.0,1.0
Ibuprofen,10,1.0,0.0,0.0,0.5
Ibuprofen,15,1.0,0.0,0.0,1.0
Ibuprofen,25,1.0,0.0,0.0,1.0
Ibuprofen,0,0.0,0.0,1.0,4.27184466
Ibuprofen,1,0.0,0.0,1.0,24.77669903
Ibuprofen,2,0.0,0.0,1.0,24.77669903
Ibuprofen,4,0.0,0.0,1.0,23.9223301
Ibuprofen,6,0.0,0.0,1.0,25.63106796
Ibuprofen,10,0.0,0.0,1.0,88.0
Ibuprofen,15,0.0,0.0,1.0,88.0
Ibuprofen,25,0.0,0.0,1.0,82.87378641
Ibuprofen,0,0.0,1.0,0.0,17.29
Ibuprofen,1,0.0,1.0,0.0,25.48
Ibuprofen,2,0.0,1.0,0.0,35.49
Ibuprofen,4,0.0,1.0,0.0,60.06
Ibuprofen,6,0.0,1.0,0.0,70.07
Ibuprofen,10,0.0,1.0,0.0,88.27
Ibuprofen,15,0.0,1.0,0.0,91.0
Ibuprofen,25,0.0,1.0,0.0,86.45
Indomethacin,0,1.0,0.0,0.0,91.67741935
Indomethacin,1,1.0,0.0,0.0,88.51612903
Indomethacin,2,1.0,0.0,0.0,93.25806452
Indomethacin,4,1.0,0.0,0.0,97.20967742
Indomethacin,6,1.0,0.0,0.0,92.46774194
Indomethacin,10,1.0,0.0,0.0,94.83870968
Indomethacin,15,1.0,0.0,0.0,98.0
Indomethacin,25,1.0,0.0,0.0,87.72580645
Indomethacin,0,0.0,0.0,1.0,0.0
Indomethacin,1,0.0,0.0,1.0,0.0
Indomethacin,2,0.0,0.0,1.0,0.0
Indomethacin,6,0.0,0.0,1.0,0.0
Indomethacin,10,0.0,0.0,1.0,0.0
Indomethacin,15,0.0,0.0,1.0,0.0
Indomethacin,25,0.0,0.0,1.0,0.0
Indomethacin,0,0.0,1.0,0.0,15.89090909
Indomethacin,1,0.0,1.0,0.0,92.0
Indomethacin,2,0.0,1.0,0.0,86.98181818
Indomethacin,4,0.0,1.0,0.0,87.81818182
Indomethacin,6,0.0,1.0,0.0,87.81818182
Indomethacin,10,0.0,1.0,0.0,62.72727273
Indomethacin,15,0.0,1.0,0.0,57.70909091
Indomethacin,25,0.0,1.0,0.0,48.50909091
Ketanserin,0,1.0,0.0,0.0,34.0
Ketanserin,1,1.0,0.0,0.0,51.0
Ketanserin,2,1.0,0.0,0.0,30.69444444
Ketanserin,4,1.0,0.0,0.0,34.94444444
Ketanserin,6,1.0,0.0,0.0,21.72222222
Ketanserin,10,1.0,0.0,0.0,7.083333333
Ketanserin,15,1.0,0.0,0.0,3.777777778
Ketanserin,25,1.0,0.0,0.0,3.305555556
Ketanserin,0,0.0,0.0,1.0,8.062111871
Ketanserin,1,0.0,0.0,1.0,2.800334181
Ketanserin,2,0.0,0.0,1.0,49.37006379
Ketanserin,4,0.0,0.0,1.0,75.44753493
Ketanserin,6,0.0,0.0,1.0,77.59937639
Ketanserin,10,0.0,0.0,1.0,75.73033753
Ketanserin,15,0.0,0.0,1.0,74.79584604
Ketanserin,25,0.0,0.0,1.0,60.72140704
Ketanserin,0,0.0,1.0,0.0,33.33606557
Ketanserin,1,0.0,1.0,0.0,31.97540984
Ketanserin,2,0.0,1.0,0.0,44.22131148
Ketanserin,4,0.0,1.0,0.0,57.82786885
Ketanserin,6,0.0,1.0,0.0,73.47540984
Ketanserin,10,0.0,1.0,0.0,83.0
Ketanserin,15,0.0,1.0,0.0,68.71311475
Ketanserin,25,0.0,1.0,0.0,72.1147541
Lamivudine,0,1.0,0.0,0.0,0.0
Lamivudine,1,1.0,0.0,0.0,0.0
Lamivudine,5,1.0,0.0,0.0,0.0
Lamivudine,25,1.0,0.0,0.0,0.0
Lamivudine,0,0.0,0.0,1.0,0.0
Lamivudine,1,0.0,0.0,1.0,0.0
Lamivudine,5,0.0,0.0,1.0,0.0
Lamivudine,25,0.0,0.0,1.0,0.0
Lamivudine,0,0.0,1.0,0.0,0.0
Lamivudine,1,0.0,1.0,0.0,1.0
Lamivudine,5,0.0,1.0,0.0,2.0
Lamivudine,25,0.0,1.0,0.0,0.0
Lidocaine,0,1.0,0.0,0.0,0.0
Lidocaine,1,1.0,0.0,0.0,1.454545455
Lidocaine,2,1.0,0.0,0.0,64.0
Lidocaine,4,1.0,0.0,0.0,52.36363636
Lidocaine,6,1.0,0.0,0.0,38.54545455
Lidocaine,10,1.0,0.0,0.0,29.81818182
Lidocaine,15,1.0,0.0,0.0,8.0
Lidocaine,25,1.0,0.0,0.0,5.090909091
Lidocaine,0,0.0,0.0,1.0,2.498521641
Lidocaine,1,0.0,0.0,1.0,17.14012144
Lidocaine,2,0.0,0.0,1.0,62.56569748
Lidocaine,4,0.0,0.0,1.0,76.87529569
Lidocaine,6,0.0,0.0,1.0,76.69739914
Lidocaine,10,0.0,0.0,1.0,97.92508623
Lidocaine,15,0.0,0.0,1.0,83.52895797
Lidocaine,25,0.0,0.0,1.0,97.02439992
Lidocaine,0,0.0,1.0,0.0,0.0
Lidocaine,1,0.0,1.0,0.0,8.25
Lidocaine,2,0.0,1.0,0.0,46.75
Lidocaine,4,0.0,1.0,0.0,55.0
Lidocaine,6,0.0,1.0,0.0,56.375
Lidocaine,10,0.0,1.0,0.0,66.6875
Lidocaine,15,0.0,1.0,0.0,88.0
Lidocaine,25,0.0,1.0,0.0,73.5625
Mizolastine,0,1.0,0.0,0.0,62.43243243
Mizolastine,1,1.0,0.0,0.0,70.54054054
Mizolastine,2,1.0,0.0,0.0,74.59459459
Mizolastine,4,1.0,0.0,0.0,77.02702703
Mizolastine,6,1.0,0.0,0.0,83.51351351
Mizolastine,10,1.0,0.0,0.0,90.0
Mizolastine,15,1.0,0.0,0.0,85.94594595
Mizolastine,25,1.0,0.0,0.0,81.08108108
Mizolastine,0,0.0,0.0,1.0,34.0
Mizolastine,1,0.0,0.0,1.0,54.0
Mizolastine,2,0.0,0.0,1.0,79.0
Mizolastine,4,0.0,0.0,1.0,35.0
Mizolastine,6,0.0,0.0,1.0,53.0
Mizolastine,10,0.0,0.0,1.0,39.0
Mizolastine,15,0.0,0.0,1.0,45.0
Mizolastine,25,0.0,0.0,1.0,53.0
Mizolastine,0,0.0,1.0,0.0,65.18987342
Mizolastine,1,0.0,1.0,0.0,100.0
Mizolastine,2,0.0,1.0,0.0,79.74683544
Mizolastine,4,0.0,1.0,0.0,96.83544304
Mizolastine,6,0.0,1.0,0.0,94.93670886
Mizolastine,10,0.0,1.0,0.0,93.67088608
Mizolastine,15,0.0,1.0,0.0,75.3164557
Mizolastine,25,0.0,1.0,0.0,77.84810127
Nevirapine,0,1.0,0.0,0.0,19.31034483
