substrate_id,has_thiol,has_thioether,has_thioester,has_thiocarboxylic_acid,has_sulfoxide,has_alkene,has_alkyne,has_tertiary_alcohol,has_glycosamine,has_glycoside
Bifonazole,False,False,False,False,False,False,False,False,False,False
Boscalid,False,False,False,False,False,False,False,False,False,False
Caffeine,False,False,False,False,False,False,False,False,False,False
Camptothecin,False,False,False,False,False,False,False,True,False,False
Cimetadine,False,True,False,False,False,False,False,False,False,False
Ciprofloxacin,False,False,False,False,False,False,False,False,False,False
Cladribine,False,False,False,False,False,False,False,False,True,False
Clotrimazole,False,False,False,False,False,False,False,False,False,False
Colchicine,False,False,False,False,False,False,False,False,False,False
Etodolac,False,False,False,False,False,False,False,True,False,False
Griseofulvin,False,False,False,False,False,True,False,True,False,False
Hydroquinine,False,False,False,False,False,False,False,False,False,False
Hydroxychloroquine,False,False,False,False,False,False,False,False,False,False
Ibuprofen,False,False,False,False,False,False,False,False,False,False
Indomethacin,False,False,False,False,False,False,False,False,False,False
Ketanserin,False,False,False,False,False,False,False,False,False,False
Lamivudine,False,True,False,False,False,False,False,False,True,False
Lidocaine,False,False,False,False,False,False,False,False,False,False
Mizolastine,False,False,False,False,False,False,False,False,False,False
Nevirapine,False,False,False,False,False,False,False,False,False,False
Omeprazole,False,False,False,False,True,False,False,False,False,False
Palbociclib,False,False,False,False,False,False,False,False,False,False
Paracetamol,False,False,False,False,False,False,False,False,False,False
Quinine,False,False,False,False,False,True,False,False,False,False
Ribavirin,False,False,False,False,False,False,False,False,True,False
Risperidone,False,False,False,False,False,False,False,False,False,False
Ritonavir,False,False,False,False,False,False,False,False,False,False
Salicin,False,False,False,False,False,False,False,False,False,True
Tetracycline,False,False,False,False,False,True,False,True,False,False
Vardenafil,False,False,False,False,True,False,False,False,False,False
Yohimbine,False,False,False,False,False,False,False,False,False,False
