substrate_id,reagent,opt_Xmin,opt_Xmax,opt_X,opt_y
Bifonazole,nbs,3.789473684210526,25.0,15.0,105.0
Boscalid,nbs,3.2564102564102564,5.0,5.0,108.0
Caffeine,nbs,0.0,25.0,0.0,0.0
Camptothecin,nbs,0.8888888888888888,2.3157894736842106,1.0,103.0
Cimetadine,nbs,0.0,25.0,0.0,0.0
Ciprofloxacin,nbs,14.795918367346939,25.0,25.0,126.0
Cladribine,nbs,0.0,25.0,0.0,0.0
Clotrimazole,nbs,0.0,25.0,0.0,0.0
Colchicine,nbs,0.0,5.0,0.0,104.0
Etodolac,nbs,0.0,25.0,0.0,0.0
Griseofulvin,nbs,0.0,5.0,0.0,100.0
Hydroquinine,nbs,0.0,3.6666666666666665,1.0,101.0
Hydroxychloroquine,nbs,0.0,5.0,5.0,111.0
Ibuprofen,nbs,3.6842105263157894,25.0,4.0,2.0
Indomethacin,nbs,0.0,13.46938775510204,4.0,81.0
Ketanserin,nbs,2.8421052631578947,4.526315789473684,4.0,74.0
Lamivudine,nbs,0.0,25.0,0.0,0.0
Lidocaine,nbs,2.0,3.052631578947368,2.0,88.0
Mizolastine,nbs,5.2631578947368425,25.0,10.0,111.0
Nevirapine,nbs,0.0,0.3333333333333333,0.0,15.0
Omeprazole,nbs,0.0,25.0,0.0,0.0
Palbociclib,nbs,7.743589743589744,25.0,10.0,104.0
Paracetamol,nbs,0.0,0.3333333333333333,0.0,80.0
Quinine,nbs,1.7777777777777777,2.1052631578947367,2.0,76.0
Ribavirin,nbs,0.0,25.0,0.0,0.0
Risperidone,nbs,3.894736842105263,4.421052631578947,4.0,21.0
Ritonavir,nbs,0.0,1.0,0.0,112.0
Salicin,nbs,0.0,0.1111111111111111,0.0,117.0
Tetracycline,nbs,0.0,25.0,0.0,0.0
Vardenafil,nbs,0.0,25.0,0.0,0.0
Yohimbine,nbs,10.0,25.0,15.0,50.0
Bifonazole,palauchlor,3.894736842105263,20.95959595959596,10.0,58.0
Boscalid,palauchlor,2.0,25.0,25.0,70.0
Caffeine,palauchlor,0.0,0.2222222222222222,0.0,25.0
Camptothecin,palauchlor,7.6410256410256405,25.0,15.0,92.0
Cimetadine,palauchlor,0.0,25.0,0.0,0.0
Ciprofloxacin,palauchlor,1.8888888888888888,4.631578947368421,2.0,77.0
Cladribine,palauchlor,0.0,25.0,0.0,0.0
Clotrimazole,palauchlor,0.0,25.0,0.0,0.0
Colchicine,palauchlor,0.0,2.5384615384615383,1.0,94.0
Etodolac,palauchlor,0.0,25.0,0.0,0.0
Griseofulvin,palauchlor,0.8888888888888888,25.0,4.0,73.0
Hydroquinine,palauchlor,2.948717948717949,5.0,5.0,91.0
Hydroxychloroquine,palauchlor,4.384615384615385,5.0,5.0,100.0
Ibuprofen,palauchlor,0.8888888888888888,25.0,1.0,97.0
Indomethacin,palauchlor,0.0,25.0,0.0,0.0
Ketanserin,palauchlor,4.589743589743589,5.0,5.0,109.0
Lamivudine,palauchlor,0.0,25.0,0.0,0.0
Lidocaine,palauchlor,4.589743589743589,5.0,5.0,116.0
Mizolastine,palauchlor,1.7777777777777777,2.3157894736842106,2.0,79.0
Nevirapine,palauchlor,0.0,25.0,0.0,0.0
Omeprazole,palauchlor,0.0,25.0,0.0,0.0
Palbociclib,palauchlor,3.894736842105263,8.051282051282051,4.0,104.0
Paracetamol,palauchlor,11.428571428571429,25.0,25.0,39.0
Quinine,palauchlor,1.0,2.1052631578947367,2.0,107.0
Ribavirin,palauchlor,0.0,25.0,0.0,0.0
Risperidone,palauchlor,7.230769230769231,12.653061224489797,10.0,70.0
Ritonavir,palauchlor,0.8888888888888888,1.1111111111111112,1.0,70.0
Salicin,palauchlor,4.076923076923077,5.0,5.0,100.0
Tetracycline,palauchlor,0.0,25.0,0.0,0.0
Vardenafil,palauchlor,23.080808080808083,25.0,25.0,4.0
Yohimbine,palauchlor,0.0,25.0,0.0,0.0
Bifonazole,nis,4.692307692307692,5.0,5.0,112.0
Boscalid,nis,4.589743589743589,5.0,5.0,115.0
Caffeine,nis,1.6666666666666665,10.612244897959183,2.0,4.0
Camptothecin,nis,1.0,2.9473684210526314,1.0,5.0
Cimetadine,nis,0.0,25.0,0.0,0.0
Ciprofloxacin,nis,12.755102040816327,25.0,15.0,9.0
Cladribine,nis,0.0,25.0,0.0,0.0
Clotrimazole,nis,0.0,25.0,0.0,0.0
Colchicine,nis,0.0,5.0,0.0,109.0
