substrate_id,yield,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,GATS7d_mordred,softness+_max_aqme,MINaaN_mordred,GATS7s_mordred,MDEO-12_mordred,softness-_indxcarbon_aqme,Buried volume_min_aqme,ETA_dEpsilon_B_mordred,FilterItLogS_mordred,Radical attack_indxcarbon_aqme,AATS7i_mordred,Partial charge_min_aqme,FOD p proportion_indxcarbon_aqme,GATS8d_mordred,SIC1_mordred,MINdssC_mordred,MINsCH3_mordred,BCUTs-1l_mordred,Disp. coeff. C6_max_aqme,Nu_Nucleophil._min_aqme,SaaCH_mordred,MDEO-11_mordred,MAXdO_mordred,BCUTdv-1l_mordred,MAXssCH2_mordred,ATSC2d_mordred
Bifonazole,0.0,0.0,1.0,0.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,0.0,1.0,1.0,0.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,72.60504202,2.0,1.0,0.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,80.16806723,4.0,1.0,0.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,82.43697479,6.0,1.0,0.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,86.21848739,10.0,1.0,0.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,90.0,15.0,1.0,0.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,85.46218487,25.0,1.0,0.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,0.0,0.0,0.0,0.0,1.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,0.0,1.0,0.0,0.0,1.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,68.20512821,2.0,0.0,0.0,1.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,85.25641026,4.0,0.0,0.0,1.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,81.1965812,6.0,0.0,0.0,1.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
