substrate_id,reagent,tfa_equivalents,yield
Bifonazole,nbs,0,0
Bifonazole,nbs,1,0
Bifonazole,nbs,2,72.60504202
Bifonazole,nbs,4,80.16806723
Bifonazole,nbs,6,82.43697479
Bifonazole,nbs,10,86.21848739
Bifonazole,nbs,15,90
Bifonazole,nbs,25,85.46218487
Bifonazole,palauchlor,0,0
Bifonazole,palauchlor,1,0
Bifonazole,palauchlor,2,68.20512821
Bifonazole,palauchlor,4,85.25641026
Bifonazole,palauchlor,6,81.1965812
Bifonazole,palauchlor,10,95
Bifonazole,palauchlor,15,87.69230769
Bifonazole,palauchlor,25,82.82051282
Bifonazole,nis,0,3.250507797
Bifonazole,nis,1,1.266877438
Bifonazole,nis,2,91.83109585
Bifonazole,nis,4,95.15186066
Bifonazole,nis,6,92.65361315
Bifonazole,nis,10,96.36529766
Bifonazole,nis,15,97.54930332
Bifonazole,nis,25,95.34665304
Boscalid,nbs,0,64.42592593
Boscalid,nbs,1,76.22222222
Boscalid,nbs,5,98
Boscalid,palauchlor,0,5.196428571
Boscalid,palauchlor,1,89.20535714
Boscalid,palauchlor,2,91.80357143
Boscalid,palauchlor,4,92.66964286
Boscalid,palauchlor,6,97
Boscalid,palauchlor,10,94.40178571
Boscalid,palauchlor,15,94.40178571
Boscalid,palauchlor,25,96.13392857
Boscalid,nis,0,43.47826087
Boscalid,nis,1,76.52173913
Boscalid,nis,5,100
Caffeine,nbs,0,0
Caffeine,nbs,1,0
Caffeine,nbs,2,0
Caffeine,nbs,4,0
Caffeine,nbs,6,0
Caffeine,nbs,10,0
Caffeine,nbs,15,0
Caffeine,nbs,25,0
Caffeine,palauchlor,0,25
Caffeine,palauchlor,1,17
Caffeine,palauchlor,2,9
Caffeine,palauchlor,4,6
Caffeine,palauchlor,6,5
Caffeine,palauchlor,10,3
Caffeine,palauchlor,15,2
Caffeine,palauchlor,25,2
Caffeine,nis,0,0
Caffeine,nis,1,2.25
Caffeine,nis,2,3
Caffeine,nis,4,3
Caffeine,nis,6,2.25
Caffeine,nis,10,3
Caffeine,nis,15,0.75
Caffeine,nis,25,0.75
Camptothecin,nbs,0,42.58252427
Camptothecin,nbs,1,86
Camptothecin,nbs,2,82.66019417
Camptothecin,nbs,4,50.09708738
Camptothecin,nbs,6,35.90291262
Camptothecin,nbs,10,34.23300971
Camptothecin,nbs,15,13.3592233
Camptothecin,nbs,25,7.514563107
Camptothecin,palauchlor,0,7.434782609
Camptothecin,palauchlor,1,45.43478261
Camptothecin,palauchlor,2,54.52173913
Camptothecin,palauchlor,4,44.60869565
Camptothecin,palauchlor,6,66.08695652
Camptothecin,palauchlor,10,71.86956522
Camptothecin,palauchlor,15,76
Camptothecin,palauchlor,25,68.56521739
Camptothecin,nis,0,0
Camptothecin,nis,1,5
Camptothecin,nis,2,5
Camptothecin,nis,4,4
Camptothecin,nis,6,4
Camptothecin,nis,10,4
Camptothecin,nis,15,1
Camptothecin,nis,25,2
Cimetadine,nbs,0,0
Cimetadine,nbs,1,0
Cimetadine,nbs,5,0
Cimetadine,nbs,25,0
Cimetadine,palauchlor,0,0
Cimetadine,palauchlor,1,0
Cimetadine,palauchlor,5,0
Cimetadine,palauchlor,25,0
Cimetadine,nis,0,0
Cimetadine,nis,1,0
Cimetadine,nis,5,0
Cimetadine,nis,25,0
Ciprofloxacin,nbs,0,0
Ciprofloxacin,nbs,1,33.02380952
Ciprofloxacin,nbs,2,33.6031746
Ciprofloxacin,nbs,4,32.44444444
Ciprofloxacin,nbs,6,30.12698413
Ciprofloxacin,nbs,10,31.86507937
Ciprofloxacin,nbs,15,67.78571429
Ciprofloxacin,nbs,25,73
Ciprofloxacin,palauchlor,0,1.896103896
Ciprofloxacin,palauchlor,1,32.23376623
Ciprofloxacin,palauchlor,2,73
Ciprofloxacin,palauchlor,4,73
Ciprofloxacin,palauchlor,6,52.14285714
Ciprofloxacin,palauchlor,10,50.24675325
Ciprofloxacin,palauchlor,15,39.81818182
Ciprofloxacin,palauchlor,25,55.93506494
Ciprofloxacin,nis,0,0.777777778
Ciprofloxacin,nis,1,2.333333333
Ciprofloxacin,nis,2,2.333333333
Ciprofloxacin,nis,4,3.888888889
Ciprofloxacin,nis,6,4.666666667
Ciprofloxacin,nis,10,5.444444444
Ciprofloxacin,nis,15,7
Ciprofloxacin,nis,25,7
Cladribine,nbs,0,0
Cladribine,nbs,1,0
Cladribine,nbs,5,0
Cladribine,nbs,25,0
Cladribine,palauchlor,0,0
Cladribine,palauchlor,1,0
Cladribine,palauchlor,5,0
Cladribine,palauchlor,25,0
Cladribine,nis,0,0
Cladribine,nis,1,0
Cladribine,nis,5,0
Cladribine,nis,25,0
Clotrimazole,nbs,0,0
Clotrimazole,nbs,1,0
Clotrimazole,nbs,5,0
Clotrimazole,nbs,25,0
Clotrimazole,palauchlor,0,0
Clotrimazole,palauchlor,1,0
Clotrimazole,palauchlor,5,0
Clotrimazole,palauchlor,25,0
Clotrimazole,nis,0,0
Clotrimazole,nis,1,0
Clotrimazole,nis,5,0
Clotrimazole,nis,25,0
Colchicine,nbs,0,100
Colchicine,nbs,1,94.23076923
Colchicine,nbs,5,98.07692308
Colchicine,palauchlor,0,7
Colchicine,palauchlor,1,8
Colchicine,palauchlor,5,31
Colchicine,nis,0,96
Colchicine,nis,1,96
Colchicine,nis,5,94.23853211
Etodolac,nbs,0,0
Etodolac,nbs,1,0
Etodolac,nbs,5,0
Etodolac,nbs,2,0
Etodolac,nbs,4,0
Etodolac,nbs,6,0
Etodolac,nbs,10,0
Etodolac,nbs,15,0
Etodolac,nbs,25,0
Etodolac,palauchlor,0,0
Etodolac,palauchlor,1,0
Etodolac,palauchlor,5,0
Etodolac,palauchlor,2,0
Etodolac,palauchlor,4,0
Etodolac,palauchlor,6,0
Etodolac,palauchlor,10,0
Etodolac,palauchlor,15,0
Etodolac,palauchlor,25,0
Etodolac,nis,0,0
Etodolac,nis,1,0
Etodolac,nis,5,0
Etodolac,nis,2,0
Etodolac,nis,4,0
Etodolac,nis,6,0
Etodolac,nis,10,0
Etodolac,nis,15,0
Etodolac,nis,25,0
Griseofulvin,nbs,0,79.6460177
Griseofulvin,nbs,1,78.84955752
Griseofulvin,nbs,5,74.86725664
Griseofulvin,nbs,10,90
Griseofulvin,nbs,15,89.20353982
Griseofulvin,nbs,25,89.20353982
Griseofulvin,palauchlor,0,7.314285714
Griseofulvin,palauchlor,1,17.37142857
Griseofulvin,palauchlor,2,17.37142857
Griseofulvin,palauchlor,4,18.28571429
Griseofulvin,palauchlor,6,15.54285714
Griseofulvin,palauchlor,10,62.17142857
Griseofulvin,palauchlor,15,61.25714286
Griseofulvin,palauchlor,25,64
Griseofulvin,nis,0,8
Griseofulvin,nis,1,30
Griseofulvin,nis,2,43
Griseofulvin,nis,4,50
Griseofulvin,nis,6,49
