substrate_id,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,yield
Bifonazole,0.0,1.0,0.0,0.0,0.0
Boscalid,0.0,1.0,0.0,0.0,71.0
Caffeine,0.0,1.0,0.0,0.0,0.0
Camptothecin,0.0,1.0,0.0,0.0,51.0
Cimetadine,0.0,1.0,0.0,0.0,0.0
Ciprofloxacin,0.0,1.0,0.0,0.0,0.0
Cladribine,0.0,1.0,0.0,0.0,0.0
Clotrimazole,0.0,1.0,0.0,0.0,0.0
Colchicine,0.0,1.0,0.0,0.0,104.0
Etodolac,0.0,1.0,0.0,0.0,0.0
Griseofulvin,0.0,1.0,0.0,0.0,100.0
Hydroquinine,0.0,1.0,0.0,0.0,95.0
Hydroxychloroquine,0.0,1.0,0.0,0.0,105.0
Ibuprofen,0.0,1.0,0.0,0.0,0.0
Indomethacin,0.0,1.0,0.0,0.0,78.0
Ketanserin,0.0,1.0,0.0,0.0,44.0
Lamivudine,0.0,1.0,0.0,0.0,0.0
Lidocaine,0.0,1.0,0.0,0.0,0.0
Mizolastine,0.0,1.0,0.0,0.0,77.0
Nevirapine,0.0,1.0,0.0,0.0,15.0
Omeprazole,0.0,1.0,0.0,0.0,0.0
Palbociclib,0.0,1.0,0.0,0.0,20.0
Paracetamol,0.0,1.0,0.0,0.0,80.0
Quinine,0.0,1.0,0.0,0.0,14.0
Ribavirin,0.0,1.0,0.0,0.0,0.0
Risperidone,0.0,1.0,0.0,0.0,2.0
Ritonavir,0.0,1.0,0.0,0.0,112.0
Salicin,0.0,1.0,0.0,0.0,117.0
Tetracycline,0.0,1.0,0.0,0.0,0.0
Vardenafil,0.0,1.0,0.0,0.0,0.0
Yohimbine,0.0,1.0,0.0,0.0,2.0
Bifonazole,0.0,0.0,0.0,1.0,0.0
Boscalid,0.0,0.0,0.0,1.0,5.0
Caffeine,0.0,0.0,0.0,1.0,25.0
Camptothecin,0.0,0.0,0.0,1.0,9.0
Cimetadine,0.0,0.0,0.0,1.0,0.0
Ciprofloxacin,0.0,0.0,0.0,1.0,2.0
Cladribine,0.0,0.0,0.0,1.0,0.0
Clotrimazole,0.0,0.0,0.0,1.0,0.0
Colchicine,0.0,0.0,0.0,1.0,85.0
Etodolac,0.0,0.0,0.0,1.0,0.0
Griseofulvin,0.0,0.0,0.0,1.0,32.0
Hydroquinine,0.0,0.0,0.0,1.0,45.0
Hydroxychloroquine,0.0,0.0,0.0,1.0,54.0
Ibuprofen,0.0,0.0,0.0,1.0,19.0
Indomethacin,0.0,0.0,0.0,1.0,0.0
Ketanserin,0.0,0.0,0.0,1.0,3.0
Lamivudine,0.0,0.0,0.0,1.0,0.0
Lidocaine,0.0,0.0,0.0,1.0,6.0
Mizolastine,0.0,0.0,0.0,1.0,34.0
Nevirapine,0.0,0.0,0.0,1.0,0.0
Omeprazole,0.0,0.0,0.0,1.0,0.0
Palbociclib,0.0,0.0,0.0,1.0,0.0
Paracetamol,0.0,0.0,0.0,1.0,8.0
Quinine,0.0,0.0,0.0,1.0,49.0
Ribavirin,0.0,0.0,0.0,1.0,0.0
Risperidone,0.0,0.0,0.0,1.0,0.0
Ritonavir,0.0,0.0,0.0,1.0,18.0
Salicin,0.0,0.0,0.0,1.0,9.0
Tetracycline,0.0,0.0,0.0,1.0,0.0
Vardenafil,0.0,0.0,0.0,1.0,0.0
Yohimbine,0.0,0.0,0.0,1.0,0.0
Bifonazole,0.0,0.0,1.0,0.0,0.0
Boscalid,0.0,0.0,1.0,0.0,61.0
Caffeine,0.0,0.0,1.0,0.0,0.0
Camptothecin,0.0,0.0,1.0,0.0,0.0
Cimetadine,0.0,0.0,1.0,0.0,0.0
Ciprofloxacin,0.0,0.0,1.0,0.0,1.0
Cladribine,0.0,0.0,1.0,0.0,0.0
Clotrimazole,0.0,0.0,1.0,0.0,0.0
Colchicine,0.0,0.0,1.0,0.0,109.0
Etodolac,0.0,0.0,1.0,0.0,0.0
Griseofulvin,0.0,0.0,1.0,0.0,6.0
Hydroquinine,0.0,0.0,1.0,0.0,4.0
Hydroxychloroquine,0.0,0.0,1.0,0.0,5.0
Ibuprofen,0.0,0.0,1.0,0.0,8.0
Indomethacin,0.0,0.0,1.0,0.0,10.0
Ketanserin,0.0,0.0,1.0,0.0,0.0
Lamivudine,0.0,0.0,1.0,0.0,0.0
Lidocaine,0.0,0.0,1.0,0.0,0.0
Mizolastine,0.0,0.0,1.0,0.0,21.0
Nevirapine,0.0,0.0,1.0,0.0,0.0
Omeprazole,0.0,0.0,1.0,0.0,0.0
Palbociclib,0.0,0.0,1.0,0.0,12.0
Paracetamol,0.0,0.0,1.0,0.0,13.0
Quinine,0.0,0.0,1.0,0.0,0.0
Ribavirin,0.0,0.0,1.0,0.0,0.0
Risperidone,0.0,0.0,1.0,0.0,0.0
Ritonavir,0.0,0.0,1.0,0.0,35.0
Salicin,0.0,0.0,1.0,0.0,82.0
Tetracycline,0.0,0.0,1.0,0.0,0.0
Vardenafil,0.0,0.0,1.0,0.0,0.0
Yohimbine,0.0,0.0,1.0,0.0,6.0
Bifonazole,1.0,1.0,0.0,0.0,0.0
Boscalid,1.0,1.0,0.0,0.0,84.0
Caffeine,1.0,1.0,0.0,0.0,0.0
Camptothecin,1.0,1.0,0.0,0.0,103.0
Cimetadine,1.0,1.0,0.0,0.0,0.0
Ciprofloxacin,1.0,1.0,0.0,0.0,57.0
Cladribine,1.0,1.0,0.0,0.0,0.0
Clotrimazole,1.0,1.0,0.0,0.0,0.0
Colchicine,1.0,1.0,0.0,0.0,98.0
Etodolac,1.0,1.0,0.0,0.0,0.0
Griseofulvin,1.0,1.0,0.0,0.0,99.0
Hydroquinine,1.0,1.0,0.0,0.0,101.0
Hydroxychloroquine,1.0,1.0,0.0,0.0,97.0
Ibuprofen,1.0,1.0,0.0,0.0,0.0
Indomethacin,1.0,1.0,0.0,0.0,74.0
Ketanserin,1.0,1.0,0.0,0.0,65.0
Lamivudine,1.0,1.0,0.0,0.0,0.0
Lidocaine,1.0,1.0,0.0,0.0,2.0
Mizolastine,1.0,1.0,0.0,0.0,87.0
Nevirapine,1.0,1.0,0.0,0.0,11.0
Omeprazole,1.0,1.0,0.0,0.0,0.0
Palbociclib,1.0,1.0,0.0,0.0,0.0
Paracetamol,1.0,1.0,0.0,0.0,59.0
Quinine,1.0,1.0,0.0,0.0,43.0
Ribavirin,1.0,1.0,0.0,0.0,0.0
Risperidone,1.0,1.0,0.0,0.0,0.0
Ritonavir,1.0,1.0,0.0,0.0,102.0
Salicin,1.0,1.0,0.0,0.0,62.0
Tetracycline,1.0,1.0,0.0,0.0,0.0
Vardenafil,1.0,1.0,0.0,0.0,0.0
Yohimbine,1.0,1.0,0.0,0.0,24.0
Bifonazole,1.0,0.0,0.0,1.0,0.0
Boscalid,1.0,0.0,0.0,1.0,62.0
Caffeine,1.0,0.0,0.0,1.0,17.0
Camptothecin,1.0,0.0,0.0,1.0,55.0
Cimetadine,1.0,0.0,0.0,1.0,0.0
Ciprofloxacin,1.0,0.0,0.0,1.0,34.0
Cladribine,1.0,0.0,0.0,1.0,0.0
Clotrimazole,1.0,0.0,0.0,1.0,0.0
Colchicine,1.0,0.0,0.0,1.0,94.0
Etodolac,1.0,0.0,0.0,1.0,0.0
Griseofulvin,1.0,0.0,0.0,1.0,70.0
Hydroquinine,1.0,0.0,0.0,1.0,74.0
Hydroxychloroquine,1.0,0.0,0.0,1.0,42.0
Ibuprofen,1.0,0.0,0.0,1.0,97.0
Indomethacin,1.0,0.0,0.0,1.0,0.0
Ketanserin,1.0,0.0,0.0,1.0,8.0
Lamivudine,1.0,0.0,0.0,1.0,0.0
Lidocaine,1.0,0.0,0.0,1.0,8.0
Mizolastine,1.0,0.0,0.0,1.0,54.0
Nevirapine,1.0,0.0,0.0,1.0,0.0
Omeprazole,1.0,0.0,0.0,1.0,0.0
Palbociclib,1.0,0.0,0.0,1.0,0.0
Paracetamol,1.0,0.0,0.0,1.0,22.0
Quinine,1.0,0.0,0.0,1.0,102.0
Ribavirin,1.0,0.0,0.0,1.0,0.0
Risperidone,1.0,0.0,0.0,1.0,0.0
Ritonavir,1.0,0.0,0.0,1.0,70.0
Salicin,1.0,0.0,0.0,1.0,59.0
Tetracycline,1.0,0.0,0.0,1.0,0.0
Vardenafil,1.0,0.0,0.0,1.0,0.0
Yohimbine,1.0,0.0,0.0,1.0,0.0
Bifonazole,1.0,0.0,1.0,0.0,0.0
Boscalid,1.0,0.0,1.0,0.0,12.0
Caffeine,1.0,0.0,1.0,0.0,3.0
Camptothecin,1.0,0.0,1.0,0.0,5.0
Cimetadine,1.0,0.0,1.0,0.0,0.0
Ciprofloxacin,1.0,0.0,1.0,0.0,3.0
Cladribine,1.0,0.0,1.0,0.0,0.0
Clotrimazole,1.0,0.0,1.0,0.0,0.0
Colchicine,1.0,0.0,1.0,0.0,109.0
Etodolac,1.0,0.0,1.0,0.0,0.0
Griseofulvin,1.0,0.0,1.0,0.0,21.0
Hydroquinine,1.0,0.0,1.0,0.0,2.0
Hydroxychloroquine,1.0,0.0,1.0,0.0,6.0
Ibuprofen,1.0,0.0,1.0,0.0,13.0
Indomethacin,1.0,0.0,1.0,0.0,75.0
Ketanserin,1.0,0.0,1.0,0.0,0.0
Lamivudine,1.0,0.0,1.0,0.0,0.0
Lidocaine,1.0,0.0,1.0,0.0,5.0
Mizolastine,1.0,0.0,1.0,0.0,60.0
Nevirapine,1.0,0.0,1.0,0.0,0.0
Omeprazole,1.0,0.0,1.0,0.0,0.0
Palbociclib,1.0,0.0,1.0,0.0,21.0
Paracetamol,1.0,0.0,1.0,0.0,40.0
Quinine,1.0,0.0,1.0,0.0,0.0
Ribavirin,1.0,0.0,1.0,0.0,0.0
Risperidone,1.0,0.0,1.0,0.0,0.0
Ritonavir,1.0,0.0,1.0,0.0,99.0
Salicin,1.0,0.0,1.0,0.0,22.0
Tetracycline,1.0,0.0,1.0,0.0,0.0
Vardenafil,1.0,0.0,1.0,0.0,0.0
Yohimbine,1.0,0.0,1.0,0.0,19.0
