code_name,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,MolLogP
Mizolastine_rdkit,3.114,-10.0646,-6.9506,7.0206,0.2748,6.8012,0,669.5903,-20.0979,-3.1853,3.4122000000000012
Boscalid_rdkit,2.6661,-10.521,-7.855,7.5888,0.8321000000000001,1.3293,0,518.1485,-10.109,-1.5093,5.307700000000002
Ribavirin_rdkit,3.5894,-10.9897,-7.4004,8.4915,-0.48750000000000004,5.1967,0,403.1941,-23.9266,-10.9136,-3.011499999999999
Camptothecin_rdkit,2.2057,-10.537700000000001,-8.332,7.7181,1.3911,6.7175,0,542.29,-15.3716,-4.7704,2.0796
Hydroquinine_rdkit,2.4768,-9.749600000000001,-7.2728,7.0422,-0.08320000000000001,5.0615,0,540.5722,-8.5142,-3.0172,3.397200000000002
Lamivudine_rdkit,2.856,-10.2312,-7.3752,7.8387,0.036000000000000004,6.8668,0,395.0603,-22.457,-7.3199,-0.5941000000000001
Quinine_rdkit,2.4761,-9.7621,-7.286,7.0465,0.0548,4.9682,0,530.963,-8.7216,-3.0765,3.1732000000000022
Vardenafil_rdkit,1.2741,-9.3637,-8.0896,6.7844,1.0481,10.6681,0,707.2118,-32.439,-3.718,2.07042
Paracetamol_rdkit,3.7521,-10.0855,-6.3333,7.9257,-1.1654,3.5523,0,331.5354,-13.4034,-5.2872,1.3505999999999991
Etodolac_rdkit,2.6565000000000003,-9.5157,-6.8592,7.1011,-0.6854,2.8861,0,491.2597,-11.0126,-6.0831,3.383000000000002
Risperidone_rdkit,1.8972,-9.3856,-7.4884,6.9813,0.6294000000000001,5.4523,0,649.9061,-15.2304,-2.6167,3.590420000000002
Hydroxychloroquine_rdkit,2.6277,-9.5174,-6.8897,6.8556,-0.3798,9.1933,0,556.4029,-10.2772,-1.5781,3.783000000000002
Cimetadine_rdkit,3.4292,-9.685,-6.2558,7.2099,-0.9182,11.3583,0,448.5068,-21.7376,-3.1418,0.597399999999999
Palbociclib_rdkit,1.6074000000000002,-9.5085,-7.9011,6.5567,1.007,7.7649,0,703.589,-17.2317,-3.4739,2.9658200000000012
Ketanserin_rdkit,1.6477,-9.4391,-7.7914,7.2149,1.1028,4.6815999999999995,0,605.4463,-16.6156,-3.9552,2.4238
Tetracycline_rdkit,1.7267000000000001,-9.9081,-8.1814,7.2394,1.3554,3.1379,0,593.3639,-24.7007,-14.8411,-0.214399999999999
Nevirapine_rdkit,2.5005,-9.9647,-7.4642,7.3267,0.2868,2.549,0,458.0012,-9.8128,-2.1054,2.65122
Bifonazole_rdkit,3.1156,-10.0002,-6.8846,7.4352,0.039900000000000005,4.4366,0,555.6136,-6.5037,-0.6438,5.187800000000004
Lidocaine_rdkit,3.6827,-9.7526,-6.0699,7.2705,-1.3275000000000001,4.5152,0,454.1434,-7.8939,-1.219,2.58374
Ibuprofen_rdkit,4.0921,-10.5542,-6.462,8.0486,-1.0301,1.9008,0,433.409,-9.9177,-5.825,3.073200000000001
Clotrimazole_rdkit,3.2398,-10.0298,-6.7901,7.6484,-0.0893,4.0816,0,523.8779,-7.3537,-0.871,5.376700000000004
Yohimbine_rdkit,2.754,-9.4481,-6.6942,6.7957,-0.525,2.5822000000000003,0,573.1479,-10.0601,-3.6506,2.6471
Salicin_rdkit,4.3152,-10.8805,-6.5652,8.1292,-1.2634,4.5584,0,466.7843,-19.8108,-13.0166,-1.6424
Ritonavir_rdkit,2.8937,-10.2374,-7.3437,6.933,0.5554,6.8051,0,931.259,-22.0313,-3.7296,5.905200000000008
Caffeine_rdkit,3.4242,-10.5814,-7.1572,8.3483,-0.459,4.063,0,357.4395,-12.8167,-2.5542,-1.0293
Cladribine_rdkit,3.2473,-10.5087,-7.2614,7.904,-0.2111,3.9807,0,434.8623,-22.0646,-8.588,-0.2974
Ciprofloxacin_rdkit,2.3672,-9.774000000000001,-7.4067,7.0724,0.2484,8.9438,0,520.7436,-27.3439,-7.5879,1.5833
Indomethacin_rdkit,2.4698,-10.1781,-7.7083,7.3867,0.714,3.0409,0,561.1257,-15.9255,-6.99,3.927320000000003
Griseofulvin_rdkit,2.6096,-10.4319,-7.8223,7.5523,0.7939,8.6956,0,550.2888,-16.2695,-2.9031000000000002,2.8103
Omeprazole_rdkit,3.1287,-10.1636,-7.0349,7.3557,0.09820000000000001,3.8019,0,505.5592,-14.4298,-2.8743,2.89974
Colchicine_rdkit,2.3271,-10.0452,-7.7181,7.044,0.5558000000000001,5.7999,0,612.6531,-18.4137,-3.3174,2.871600000000001
